Tweet,Label,mood
hah? kaya dendam bnaget sama ibu,Anger,Marah
huahh benci covid bangett. semoga berhenti di jimin tidak ada jungkook dan juga taehyung. no god pliss,Anger,Marah
"benci banget sama diri sendiri, gampang nangis kalo ngobrol sama orang tua.",Anger,Marah
"ni geng lgbt patutle. libtard, gay, bodoh, tahi",Anger,Marah
iya ni tvn kan suka memancing emosi penonton,Anger,Marah
sei ini ya gue baru bangun tidur udh bikin emosi aja,Anger,Marah
mau marah bangeett kenapa orang orang jahat bgt si,Anger,Marah
kadang suka emosi baca beginian tapi orang goblog emang susah kalo diajak ngobrol,Anger,Marah
si mutajir mancing emosi sih pagi2,Anger,Marah
udah gw baca panjang-panjang kirain analisisnya bakal boom. ternyta hanya hasil pikiran otak pendek. tolol,Anger,Marah
emosi bung,Anger,Marah
mvp pun kene marah tak capai kpi ke ?,Anger,Marah
opini lu jelek bro. menutup keburukan dg agama lu benarkan. poligami untuk menghindari zina? tolol! palkon banyak bacot ttg agama ya gini,Anger,Marah
kapan ya manajemen di rs diubah biar ga lempar lemparan gini anjimm orang ke rs tuh butuh penanganan cepet bukan bolak balik ribet. emosi kan gue ajgg,Anger,Marah
dari turunkan ayam 2 kupang baik buat polisi majukan industri sumber makanan negara. kita negara tropika kot apa jadah harap makanan ternakan import? bodoh sangat ke orang malaysia sampai dedak ayam pun tak boleh buat sendiri?,Anger,Marah
unesco org arab hahaa kata yg benci anis,Anger,Marah
"satu kata jangan mengundi , sebab semua bodoh",Anger,Marah
"diam, adalah jawaban terbaik untuk menghadapi orang bodoh!",Anger,Marah
"sangat tolol bbm langka,beras mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar 2006 sampai 2011",Anger,Marah
bangsat ini akun sy di hack kah?,Anger,Marah
"lah kakak gue yang umur 33 harus manggil gue yang umur 23 apaan anjrit kalo bukan adek? ""oh saya anak tunggal, ada anak perempuan satu lagi punya ayah ibu saya"" gitu? tolol ih.",Anger,Marah
ni betul2 punya marah..,Anger,Marah
"ternyata ada yg lebih bego dari aku, jauh malah",Anger,Marah
harus nya dihukum mati itu bangsat. rusak nama sumut karena dia,Anger,Marah
hmm siapa lagi yg harus aku benci,Anger,Marah
tyhan gue ga kuat banget bangsat,Anger,Marah
sumpah gw emosi banget yoo,Anger,Marah
yg dinamakan org prik bin tolol,Anger,Marah
ini faisal basri ngga lagi kena stroke kan? atau tiba2 mental retarded? ciri khas jokowi? ketukar sama sby pak faisal. jgn bangsat drun.,Anger,Marah
dipta kamu jangan bego bisa ga?,Anger,Marah
iya anjrott jangan jangan dia punya dendam sama gue ya,Anger,Marah
"apa bedanya coba awal chat huruf kapital apa engga ? sahabat, kamu kok tolol",Anger,Marah
"bangsat, mang lu udah?",Anger,Marah
"saya bisa masak, saya ini sudah ada bekal untuk main benda tajam dan minyak panas, jadi tolong hargai saya dan jangan bikin saya marah",Anger,Marah
bego ya begi diba astaga,Anger,Marah
gue baik tapi gue ga tolol. semoga orang tua gue sehat terus lancar rejeki. biar ga usah gue ngandelin sodara kaya anjing.,Anger,Marah
bangsat,Anger,Marah
"eh, kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah?",Anger,Marah
hah bodoh kali kau pantek,Anger,Marah
emosi mlu nnti jd burag loh,Anger,Marah
yaa kann ga ngerasa cape cuman larinya jadi lemot bangett. emosi gue,Anger,Marah
shipper sebelah kalo ga suka sama noren ga ush mampir uda tau benci sama noren malah baca au nya kocak bngt lo,Anger,Marah
tak sempat la ni nak balas dendam minggu depan. mesti sakit dh hilang time tu,Anger,Marah
"islamofobis/buzzerp, yaitu: 1. para *njing sepilis dan komunis, pelaku maksiat yg ingin mencari pembenaran atas kelakuannya. 2. para b*bi kafir, pecundang debat teologis scr akademis yg ingin melampiaskan dendam kekalahannya.",Anger,Marah
iya juwi emosi nih gw pagi2,Anger,Marah
aku benci kata jenuh,Anger,Marah
gw benci sekolah,Anger,Marah
bacoot kadrun emang bangsat,Anger,Marah
bangsat masih berani main sosmed,Anger,Marah
ajarkan kepada anak lelaki; tolong opininya jangan kelewat tolol.,Anger,Marah
km nyinyirn q sma antek2 nya berharap q marah tenang q punya jurus jitu q bales pake solawatan dzolim kesel sendiri kan hahaha,Anger,Marah
gausah kaget kalau tiba2 gue jadi benci sama sodara gue. dasar orang gatau diri. benalu. kacang lupa kulit. bajingan sama sodara sendiri.,Anger,Marah
hahah bangsat,Anger,Marah
"ha tuh lu doang, tau definisi adek ga sih lu ilah bikin emosi.",Anger,Marah
"nnton sis, masih on going. emosi mulu yah, sekarang nntonnya udahlah ikutin aja",Anger,Marah
"kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam2? sebabnya krn ada org2 bodoh dan sesat spt itu. sdh banyak dr zaman dl, namun motifnya tetap sama yaitu utk kepentingan perut dan sekitarnya.",Anger,Marah
"dpt mimpi kok mendukung keparnoan, bangun2 bangsat bgt bete au ah, mending ga usah tdr apa ya",Anger,Marah
haah .. belajar chargeman a1 sekali kerja amik former kat kilang jadi worker .. dengan orang atas yang kejap okay kejap tak okay nak ikut cakap dia macam kerja tak pernah siap kimak .. semua kerja siap tapi bodoh nak memekak jugak .. baruah,Anger,Marah
"woii bodok.. klo semua komplain, beropini,berargumen,berpendapat dkk mngenai kbijakan pemerintah. buat apa pileg dlakukn?? goblok di pelihara. lu lakukan itu malah buat anggota legislatif terhormat itu makan gaji buta.. tolol. pendapatan aggota dewan itu 10x gaji umr tiap bulan",Anger,Marah
terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku . rasa kesalku belum juga hilang,Anger,Marah
jangan sampai rakyatÂ benci,Anger,Marah
"gue kira di menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo ga tau definisi ˜adik ™ atau gimana? semua org nyebut saudara kandang yg lebih mudanya ya ˜adik ™, ga usah nyuruh2 org buat ngaku deh, lo doang yg mikir bgtu bego! ga jelas lo",Anger,Marah
marah btol bang,Anger,Marah
"auto belit apa? mmg ah dia org marah bila kena kencing oleh gov india. indira gandhi gunakan perkara ini sbg peluang untuk politikus dia, itu yg menyebabkan ltte bunuh indira gandhi. ko pergi baca sejarah kenapa ltte tu diwujudkan. tak sama langsung mcm taliban.",Anger,Marah
cok pagi pagi dibuat emosi,Anger,Marah
bersabar dengan emosi yang ada di dalam diri ini.,Anger,Marah
"benci tasik, benci jakarta",Anger,Marah
sepertinya opung msh dendam bu,Anger,Marah
aduh bangsat ganteng banget lagi ni orang,Anger,Marah
paling benci kalo lagi diem terus panik sendiri gatau bingung kenapa :),Anger,Marah
kalau cerita kat laki aku pasal mimpi malam td mesti kena marah,Anger,Marah
bangsat ntarnta pasti nangis haha pengecut nada tolol mati aja lo,Anger,Marah
bodoh punya statement ..baik gi minum arak ..melacur ..main judi ..baru betul thrill,Anger,Marah
((ngaku aja)))) lah bego ngajak2 gak nder yg nganggep adek cuma anak kecil lu doang,Anger,Marah
gajadi soft malah emosi.,Anger,Marah
elu jangan bikin gue marah,Anger,Marah
jarina hasebe hobi ngomel dan marah marah.,Anger,Marah
capee lagi puasa ada aja yg dibikin marah nya tu,Anger,Marah
anjinglah brengsek bangsat,Anger,Marah
emosi yaa........,Anger,Marah
tahulah nak luah kat siapa. terasa bodoh gila,Anger,Marah
"benci juga karakternya cheol. kek itu uda keliatan han sakit hati, knp harus ditegesin dlu baru peka??!! ga mempermasalahkan his feeling towards nu, tp the way he treated han that i hate the most. dipermainin bgt haha, jerk.",Anger,Marah
"poin 1-2 okelah, poin selanjutnya itu lho, gw cowok aja marah bacanya",Anger,Marah
nape lo yg emosi?,Anger,Marah
ya kalo mau poligami ikuti sunah rosul tunggu istri pertama meninggal dulu dan lu nikah ma nene2 yang udh tua dan miskin buat diurus bukan mau enak nya doang tolol,Anger,Marah
"betul org cakap, kalau tak bodoh bukan bn namanya..",Anger,Marah
kalau bad day sangat pun takde hak nak emosi kat orang lain. tak professional!,Anger,Marah
pagi pagi bangun dah fucked up. bodoh,Anger,Marah
percaya tapi benci gua kalo suka diem doang kaga ngomong lgsg kek gua kaga gigit elah dan lu cowo yg gentle dong masa kalah sama gentle jen,Anger,Marah
akhirnya bangun siang. tp si bodoh ini kaga solat subuh,Anger,Marah
"aku pura-pura tidak tau saja kebohonganmu yang terhakiki, entahlah aku pura-pura bodoh saja nanti juga akan ketahuan sendiri biar waktu yang menunjukkannya",Anger,Marah
tetep aja namanya selingkuh kok ya tolol banget. kakean alesan,Anger,Marah
"nah ini yg gw ksl gw si b aja lah liat si bright sm tu soalnya kek phinong bet tpi yg gw benci klo kek gt suka ngelunjak anjr fans nya mn ngejelek""in iwin lgi trs pasti udh kek berasa real bet pdhl cmn fanservice",Anger,Marah
aku dendam sama ntu dua orang itu.,Anger,Marah
sange sama perempuan lain? puasa. tahan diri. jaga pandangan. bukan poligami bangsat. lo miskin tapi gegayaan poligami tuh gimana ceritanya?? nanti istri jelek ga keurus karena lo ga kasi duit langsung ditinggalin. heran gue kenapa laki-laki punya otak ga dipake dah,Anger,Marah
"dulu waktu smp saya jengkel banget sama ibu saya, mau pergi naik bus dari jombang ke bojonegoro (jawa timur) pake dianterin ke terminal bus. padahal pinginnya naik angkot saja.",Anger,Marah
eh bukan jadi mangsa maki atau kena marah but concerned pasal tak bercakap. tetiba.,Anger,Marah
"tolong jangan benci fany, fany baik-baik kok gak makan orang kok",Anger,Marah
gabole marah  nanti cepett tua,Anger,Marah
si gwinam?? kayaknya dia punya keinginan hidup yg tinggi kan ada dendam sama chongsan,Anger,Marah
permulaan yang bangsat untuk febuari 2022,Anger,Marah
baca komenannya sungguh menguras emosi asu,Anger,Marah
lagian sih kemarin siapa sih yg milih ini gubernurr ???? wong dudul koyok ngene .,Anger,Marah
"kata mama harus baik samaa orang lain tpi kalo orang itu ngelunjak yaudah diemin aja tapi gue orangnya ga tega an.. jdi ya gtu, jatohnya malah tolol ngebantuin orng yg ga bisa usaha sendiri",Anger,Marah
"bahkan ada dari tweet yang maksudnya supportive. parahnya tuh nggak dibarengi dengan nanya baik-baik atau diskusi, tapi langsung ngegas. bener-bener jadi ruang marah-marah aja",Anger,Marah
"iya ituu benci bgt, makin hari ada aja peraturan ga jelas kek gini huhu",Anger,Marah
jgn la marah dia. lesen l pun dia takde lagi tu.,Anger,Marah
"mak yng darah tinggi andin makk, knp mamak yng marah marah, lanjutkan makk",Anger,Marah
"tolol, namanya adek ga harus anak kecil. adek ya, yang posisi lahirnya setelah kakak, mau jecil atau gede ga ada urusan.. dongo",Anger,Marah
bangsat bener krn pelakunya adalah guru yg seharusnya mengayomi,Anger,Marah
"diorang ni semua dah lama nak borak dengan kau. tak fun kata diorang, kalau tak dengar kau buat lawak bodoh satu hari.  tu dulu la jepp. haha.  kitorang dengar kau tengah on satu projek. big project. semua bercakap pasal kau jo.  takde la. benda takde pape lagi. ",Anger,Marah
tiati bego beneran,Anger,Marah
"yhh marah  mulu lo, cepet tua mampus",Anger,Marah
bloon. mana ada yg mau kalah. mang bego anjing kntl,Anger,Marah
"mun sepatah ku becakap, kau utuk. baik tah ku diam. pastu kau marah pulang aku diam? ngak paham",Anger,Marah
aku benci kau..,Anger,Marah
contoh orang tolol bin dongok,Anger,Marah
selama perintah suami tidak melanggar syariat. hormat tapi nggak tolol. makanya islam buat org yg mau berfikir..,Anger,Marah
"ahahaaa khas buzzerp jokowi nuduh org mau, dituduh marah",Anger,Marah
"lah bego, itu all of us are dead kali gwinam",Anger,Marah
aing macan marah?,Anger,Marah
bangsat banget,Anger,Marah
"padahal gw stay di lokasi jg dianggurin lol buat apa lu nge-hire org luar klo kyk gini ceritanya tolol jd ga pengen gw duitnya mereka gajelas bgt, bikin stress doang, padahal mah ya tinggal beresin doang si, proyek dah kelar juga, dibikin pusing amat",Anger,Marah
tolong leon jangan sampe kebawa emosi ya,Anger,Marah
benci banget gue sama ini orang.,Anger,Marah
makanya pada ngaji yg bener biar gak bego..,Anger,Marah
ledik jancuukk tai anjingg setann tolol babi monyett,Anger,Marah
supaya generasi yg sekarang jadi bodoh..kan mudah di begoin,Anger,Marah
atheis punya rasa benci? kirain umat beragama aja. lalu apa bedanya :)),Anger,Marah
trus hubungane opo bangsat!,Anger,Marah
"bangsat, ngagetin aja",Anger,Marah
emosi mulu kek ahok,Anger,Marah
"pebenda lah org penuh dgn emosi last episode, time tu jugak dia nak sumbat ppl",Anger,Marah
gue benci hari sabtu,Anger,Marah
"gatau,gue benci banget",Anger,Marah
suka nih yg bikin emosi gini jadi tag aku dong kack,Anger,Marah
aneh banget bego lu,Anger,Marah
"jujur shock di bagian bangsatnya sih, biasanya kayaknya drake doang ga ampe bangsat",Anger,Marah
we ustzh marah sbb takde orang masuk kelas pai lepastu rupanya dia yang salah masuk link,Anger,Marah
buat dan kalo mau nyerang pemerintah itu janjian dulu gitu..keliatan pada bego nya kalo begini !!??,Anger,Marah
gw bukan paling mulia tp gw manusia normal yg jijik liat kaum homo. lagipula di agama di larang tolol. masih aja lu ngeyel. kl lu masih blm benar jgn bgt kata2 lu. kaya lu uda benar aja homo.,Anger,Marah
ya allah marah betul tengok video ni,Anger,Marah
semangatt walaupun dalam hati berkata bangsat,Anger,Marah
"sebb tu kalau org2 macam ni nak jalan aku buat x tahu je, selamba je jalan. kau x de hak nak halang2 jalan org. kecuali ambulans. bodoh",Anger,Marah
"aneh ga sih? padahal dia lebih sering keluar berdua diem-diem ga ngajak aku tapi aku gada marah samsek krnapa giliran aku minta tolong buat ditemenin beli sesuatu dianya marah anjim aowkaowkaow padahal kan skornya juga 2:0,5 klo dipikir-pikir",Anger,Marah
"hiyahiyahiya. terpesona, ku pada pandangan pertama. dan tak kuasa menahan emosi.",Anger,Marah
"dipakai untuk acara pernikahan tuh, bodoh.. kunjungi ke tkp jangan cuma maen jempol aja luu.. keree gk punya ongkos, gw bayarin dah, gw mah gitu orangnya",Anger,Marah
padahal yang suka marah marah itu lo,Anger,Marah
bukan pens emyu namanye kalo gak ikut2an tolol,Anger,Marah
aa maaf pagi pagi malah marah marah,Anger,Marah
asli asli tolol bat gw yaampun,Anger,Marah
lu yg tolol anjir,Anger,Marah
marah mulu perasaan,Anger,Marah
bodoh betul g la check org yg xcden tu dulu,Anger,Marah
ntah tolol beneran atau 'pura-pura tolol' yang masih butuh informasi tentang saya ketika semua akun sosial saya terbuka untuk umum.,Anger,Marah
"makanya anjir gue emosi, kesel banget nontonnyaa",Anger,Marah
"bener, tpi juga bikin kesal lama2 liat mukanya",Anger,Marah
main pakai first e pon kalah gak dengan kelab bodoh. apa bala la m.u ni,Anger,Marah
bodoh banget gak sih,Anger,Marah
pagi2 kok udah emosi,Anger,Marah
ya gimana ya bangsat ya gitu gasii,Anger,Marah
"ga jadi deh, aku mau kak mark aja biar kamu emosi.",Anger,Marah
jangan biarkan satu hal yang bodoh ngehancurin kebahagiaan lo seharian.,Anger,Marah
lah ngapa jadi bawa sby? bro pada hakikatnya sah2 saja apabila ada orang yg muji maupun benci asal alasannya konkret dan tdk munafik ngomong apa ngasi gambar apa.. jaka sembung bawa kembang ga nyambung sayang,Anger,Marah
"gue punya facebook ,coba buka bem ternyata sama aja banyak virus adm, wabahnya nyebar, ini manusia bodoh perlu banyak didikan, ampe urat malu putus kurang didikan",Anger,Marah
orang bodoh jadi ustad pengikutnya jadi bodoh semua,Anger,Marah
khai lu bego bgt tolol brengski oon gblok aaaak ksel bgt gw kesell,Anger,Marah
kebawa emosi,Anger,Marah
"dari awal gasuka karakternya nu, knp dia bisa seserakah itu?? dan bodoh bgt segitu butanya. this is why i called him a jerk",Anger,Marah
mu tolol,Anger,Marah
"rasa macam terlalu bodoh untuk law ni, nk ambil course lain lagi la bodo keje grab je la",Anger,Marah
emosi bgt klo ada yg bilang cakep harus putih. makan taii!,Anger,Marah
"anjir bsbsnya mimpi iparku ternyata jelmaan siluman babi, y tp kalo dipikir2 ada korelasinya si sm sikap, sifat dan tingkah lakunya yg ga layak disebut manusia wkwk cok baru kali ini aku bisa benci banget sama manusia",Anger,Marah
dah bodoh dah relax nanti sendiri sakit,Anger,Marah
"lo yg menganggap poligami adalah solusi dari perzinaan. oiya dan ngga semua laki2 mau poligami juga. poligami ngga gampang. banyak orang yg benci poligami karna manusia2 kayak lo. inget ya, tanggung jawab poligami itu berat.",Anger,Marah
pickaw punya dendam kek nya,Anger,Marah
"bokap: ngelarang anak & istri nunjukin rasa jengkel also bokap: kalo jengkel nada ngomongnya ketus, banting pintu, narok barang kasar",Anger,Marah
"si bodoh, minta monthly salary gak ngitung dulu kalo diannual ternyata sama aja sana sama sini pas di approved bingung kelabakan",Anger,Marah
mungkin dia pengikut pimpinan pesantren yg cabul itu makanya bisa bikin opini se tolol gitu,Anger,Marah
bodoh ajgg,Anger,Marah
bapak pengkhianat negara bergaduh dengan bapak songlap negara dah tikam belakang ph nak jadi good cop  pulak lawak bodoh!,Anger,Marah
"diselingkuhin mereka belum sampe pacaran sih, tapi main belakang aja. diem diem gitu tapi ga mulus, bego banget mereka pdktnya jadi ketauannya cepet",Anger,Marah
"anjr kesal bgt sm yg suka curi"", semangat ashh smoga lancar jd bisa di td punya si pencuri mana judulny dari yg keren jdi cuman bridge, tree, fragment",Anger,Marah
sabar sabar gak boleh marah,Anger,Marah
"mestinya yg benci pemerintah di obatin sampe sembuh,tdk hanya covidnya yg sembuh tapi sakit hatinya juga sembuh..",Anger,Marah
"1. jangan main klarinet. 2. jangan pernah melambaikan lampu senter ke depan dan ke belakang terlalu cepat. itu dianggap undangan. 3. jangan pernah berhenti menatap sekitar. 4. jangan makan keju, kecuali yang kotak. 5. jangan pakai topi sombrero. 6. jangan pakai baju bodoh.",Anger,Marah
bangsat dah ini,Anger,Marah
"yang no 3 ""izinkan suami berpoligami,untuk mencegah perzinahan"" aduhh goblok banget ya jadi orang, jadi selama ini pernikahan itu zina gitu? dan poligami itu bagus & dianjurkan diagama gitu? helloww diagama gaada tuh 1 kontol harus 2 lubang. bajingan bangsat lo",Anger,Marah
dah emosi og dari tadi wkkw,Anger,Marah
say! gimana cara mainin perasaan cowo dan nantinya si cowo kek nyesel udah ninggalin cewenya gitu? kata temenku si gitu biar berpikir si cowonya ninggalin si x adalah pilihan bodoh ,Anger,Marah
"klo naksir ada si nder cuma setiap mau dideketin aku selalu ngasi lampu merah, jd pada mundur sendiri sendiri. aku disuruh sekolah dlu sm ortu, aku benci penolakan maka dari itu aku kasi lampu merah aja drpd pas nembak aku tolak, aku takut mereka sakit hati",Anger,Marah
"taik gua benci twitter, suka ke refresh sendiri bangsaat, padahal tadi ada tweet lucu jadi gak kebaca",Anger,Marah
konyol bego,Anger,Marah
boleh benci tapi jangan bodoh,Anger,Marah
"salah sendiri baperan, tolol!",Anger,Marah
dah hari ke 6 pun still kena marah pasal panadol,Anger,Marah
bangsat bener juga,Anger,Marah
pengen keliatan pinter tapi tolol,Anger,Marah
tolol bgt nilo jilat tai sebdiri guwvtakut siiii bayangin omar marahh eumm,Anger,Marah
luv emyuu tolol sumpah,Anger,Marah
nah ini satu lagi cebong tolol nongol..,Anger,Marah
klo mau di suruh mati berarti kamu tolol,Anger,Marah
oh pantes orang mengakui bodoh og. panjang umur dualisme ckck,Anger,Marah
"mereka ini ga pernah liat orang negro apa ya, rasis banget bangsat",Anger,Marah
gua benci dimana setiap gua mulai suka sama orang kenapa orang itu seakan-akan menghindar,Anger,Marah
biarin marah banget aing kali ini,Anger,Marah
pagi tiba tiba baca banyak berita di tl cebong ngamuk ngamuk dan cari banyak alasan tentang dewa nya tidak di hargai luhut saat pidato.cebong menghibur diri pura pura bahagia.cebong cebong bodoh idiot kalian itu permanent.mentang mentang gratis loe ambil semua bodoh nya.idiot,Anger,Marah
"lagunya sakusa habis diputusin atsumu habis itu misuhin lagu ""yakali ajg gue bisa benci lo. yakali ajg gue cari yang baru. gue maunya lo gak yang baru gak dengan benci lo""",Anger,Marah
"soalnya dari kecil udah dicekokin kalo yang cakep itu yang kulitnya putih, alias tolol",Anger,Marah
kesel bgt anjir pagi2 udah ribet lu bangsat,Anger,Marah
bodoh,Anger,Marah
"jengkel bgt sama call centernya buru2 bgt closing nya, padahal masalah belom kelar. parahh!! oia kan sicepat namanya",Anger,Marah
kegaduhan yg ditimbulkan dan efek demo bersilit silitnya sampe skrg ga ilang2. meski pd akhirnya mrk marah krn kecewa jebul sing didukung malah pada dadi mentri kabeh,Anger,Marah
janji dapat dedak bodoh pun bodoh la..,Anger,Marah
ini yg kelimaa anjing sial mulu dalam seminggu bangsat ntar besok apa lagi nih taiik,Anger,Marah
sdh banyak masyarakat yg tau gerak-gerik pembohong penjual dalil si bangsat provokator hh pemecah belah anak bangsa.. mmg polisi hrsnya sgr menjebloskan bui bajingan jnj,Anger,Marah
minta nak makan macam2 minta la suami ko. minta org lain suruh beli pulak. bodoh,Anger,Marah
bodoh lah takda flight terdekat,Anger,Marah
masi pagii tahan jangan emosi:),Anger,Marah
bisa-bisanya mark gak calling gue /marah,Anger,Marah
emyu yg kalah kok aku yg emosi yaa?,Anger,Marah
aku yakin mereka bakal jengukin sih tapi kita ga tau ya mereka mau share apa enggak. yang penting jm ga sendirian lagi ahh copit bangsat. minta maaf lu bikin mimi sakit dan sndirian,Anger,Marah
hukum bangsat hanya buat bangsat !,Anger,Marah
lagii rame kalo suami boleh pukul istri yaa. kalo pukul bercanda ga bikin lebam aku sih biasa ajaa tp aku tipe org yg gasuka disakitin jd kalo aku dipukul kupukul balik soalnya sayah semasa hidup gapernah pukul aku marah aja ga pernah krn ak anak satu2nya,Anger,Marah
"bodoh banget dah checkout maybelline lupa pilih hadiah,",Anger,Marah
"gamau eskrim mau balas dendam sama om jev anjg maap kak esmosi jiwa - gpp, lagi, om jevan shibal..",Anger,Marah
"di satu sisi, kalopun emang proses kemaren gue gagal, gue gapapa banget minum obat lagi. yang penting kelar. please banget. gue udah benci banget di situasi di mana gue cuman keep rasa sakit sendiri dan gue susah kemana mana. benci banget.",Anger,Marah
"dari 15 match competitive, yg menang cuma 4, tolol mending uninstall lagi aja udah, emang gk berbakat",Anger,Marah
gue masih jengkel yaa sama temen temen sekelompok gue,Anger,Marah
"slogan tu dah boleh buang, ganti dengan ""semua polis adalah bangsat""",Anger,Marah
wkwkakak faker tolol ye,Anger,Marah
"setelah kucing gua udh di steril selama 13 hari itu udah dikurung dirumah, dan hari ini kabur dong main lagi ke rumah si tetangga sinting ini langsung gua kejar eh berharap gak ketemu dia tau2 malah sapaan ketemu amnjing bener dah bangsat",Anger,Marah
baru juga reda emosi nya udah emosi lagi,Anger,Marah
sorry bang gue paling benci kalo ada yang bilang dia lebih cape dari gue,Anger,Marah
"masih pagi, udah marah marah aja",Anger,Marah
"frik ambis gajelas, males gua, merasa bodoh gabisa nyimbangin asu, kesannya jelek mulu gua padahal rata rata udah oke",Anger,Marah
"jangan buat gua spill lu di rl ya njir, gua udh sabar udh hps twt udh ganti username tapi lu kayaknya emg nyari ribut sm gua ya cwek bangsat",Anger,Marah
tau apa yg buat gue marah? lg baca au tbtb ke out sendiri,Anger,Marah
bego bgt knpa maksa ya,Anger,Marah
mmf yh say! menanyakan hal bodoh xixi,Anger,Marah
"parahh bangsat banget ya, planga plongo dongo beleng2 bangsat2 yg cr makan dr menghiaap darah orang dn nyawa orang",Anger,Marah
"genius kang taehyun happy birthday anak lanang sehat terus jan sakit klo sakit aku marah kangen tyunn sulap, jg pengin tyunn ada konten masak trus upload di yt gitu _ __",Anger,Marah
"kenapa sih gw malah download valorant lagi, tolol",Anger,Marah
ni sume sbb rakyat bodoh!! pi pilih lagi org yg menyusahkan rakyat tu watpe?? asal melayu isle tu betul la?? hanggok hang!,Anger,Marah
"jujur gue malu jadi orang indo, kok bisa tinggal senegara sama orang2 bodoh kyk gini semua",Anger,Marah
awan lu dendam ama gua ngomng wan,Anger,Marah
lagi kesal gegara kelompok,Anger,Marah
bilangnya realistis butuh duit sbnrnya lebih ke oke gw cari yg banyak duit gt ga si org materialistis tuh. iinget segalanya butuh uang tapi uang bukan segalanya. agak emosi emg sis kalo sok sok realistis tp trnyata materialistis,Anger,Marah
gue benci sama lo!,Anger,Marah
kenapa pagi-pagi gini udah ada yang bikin emosi,Anger,Marah
wkwkwk tolol,Anger,Marah
karena saya egois dan bego,Anger,Marah
"setan kribo ini model 2nya kyk si murtad saefudin ibrahim yg skrg pendeta yg selalu mendeskriditkan islam..si setan kribo klo mo murtad, murtad aja sekalian..jd umat islam cm bikin masalah n nebar fitnah..klo pemahaman agama islamnya dia bener gak kyk gini narasi si bangsat ini",Anger,Marah
masih pagi gue dah emosi.,Anger,Marah
"ternyata gue di block sama cowo kr di ig gegara dia pas minta foto yg aneh"" ke gue trs gue tolak, lagian minta foto yg aneh"" mulu dikata gue bego apa",Anger,Marah
anak cucu para bangsat bangsa?,Anger,Marah
hal yang paling gue benci dari sebuah proses adalah.. nungguin. dan lebih menyakitkan adalah nungguin hasil di kala badan masih belom membaik. capek banget tiap hari harus bergantung sm ibuprofen dan obat-obat lainnya biar sakitnya berkurang.,Anger,Marah
menghindari perzinahan kok poligami sih tolol banget goblokkkkk. makanya titit nya gausah gatel liat perempuan tetangga.,Anger,Marah
marah,Anger,Marah
emosi gue emosi asu,Anger,Marah
"malah ke kirim yg ini jancuks bau"" bakal marah:)",Anger,Marah
